"Deproteinization ","Saliva samples contain proteins and particulate matter, which affects the quality of proton NMR by interfering with the identification and quantification of metabolites. Deproteinization of the human saliva samples was done by centrifuging and ultra-filtering the samples following a previously reported procedure (Psychogios et al. 2011)","MTBLS100"
"Extraction","Two ml of cell culture supernatant were filtered through a 0.22 µm syringe sterile filter (Sarstedt AG&Co) and directly frozen.","MTBLS102"
"Sample collection","Each 400 µl sample volume were buffered to a pH of 7.0 by adding 200 µl of a 0.2 mol/l sodium hydrogen phosphate buffer solution, made up with 50% D2O (Euriso-Top, St-Aubin Cedex, France), which provides a NMR-lock signal. Additionally, the buffer solution contained 1 mmol/l TSP (3-trimethylsilyl-[2,2,3,3-D4]-1-propionic acid) (Sigma-Aldrich, St. Louis, USA) as an internal standard for subsequent quantification.","MTBLS102"
"NMR spectroscopy","Qualitative and quantitative data analysis was carried out in a Bruker AVANCE-II 600 NMR spectrometer operated by TOPSPIN 3.1 software and by using AMIX®-Viewer v3.9.11 (Bruker Biospin).","MTBLS102"
"NMR assay","All NMR spectra were obtained at 600.27 MHz at a temperature of 310 K using a Bruker AVANCE-II 600 NMR spectrometer, operated by TOPSPIN 2.1 software (both from Bruker Biospin GmbH, Rheinstetten, Germany). A 1D-NOESY pulse sequence was used with presaturation on the residual HDO signal during both the relaxation delay and the mixing time. A total of 64 free induction decays (FID scans) were collected, using a spectral width of 30 ppm for a one-dimensional spectrum.","MTBLS102"
"Data transformation","","MTBLS102"
"Metabolite identification","For data analysis the using AMIX®-Viewer v3.9.11 (Bruker Biospin), identification was based on spectra alignment of pure standard compounds (Sigma-Aldrich, St. Louis, USA). For quantification designated peaks were integrated and compared to the TSP signal, considering the number of protons for each signal [1].</p>Ref: </br>[1] Dörries K, Lalk M (2013) Metabolic Footprint Analysis Uncovers Strain Specific Overflow Metabolism and D-Isoleucine Production of Staphylococcus Aureus COL and HG001. PLoS ONE 8(12): e81500. doi:10.1371/journal.pone.0081500  ","MTBLS102"
"Sample collection","Untargeted metabolomic analyses on serum samples of PCOS and control patients were performed using two analytical platforms: 1H-NMR and LC-ESI-QTOF; each serum sample was split into two aliquots and run in parallel using the two analytical platforms.","MTBLS103"
"Extraction","The second aliquot was used for LC-MS analysis. 30 μL of serum sample was mixed with 120 μL of cold ACN/H2O (1:1) with 1% meta-phosphoric acid (MPA) and 0.1% formic acid (previously filtered). Samples were vortexed vigorously for 30 seconds and stored at 20C for 2 hours to enable protein precipitation. Subsequently, samples were centrifuged 15 minutes at 4C and 15000 rpm and the supernetant was transferred to a LC-MS vial. ","MTBLS103"
"Chromatography","Samples were injected in a UHPLC system (1290 Agilent) coupled to a quadrupole time of flight (QTOF) mass spectrometer (6550 Agilent Technologies) operated in positive electrospray ionization (ESI+) mode. Metabolites were separated using either C18-RP (ACQUITY UPLC HSS T3 1.8 ?L, Waters) or HILIC (ACQUITY UPLC BEH 1.7 ?L, Waters) chromatography at a flow rate of 0.4 mL/min. The solvent system in C18-RP was A= 0.1% formic in water, and B= 0.1% formic in acetonitrile. The linear gradient elution started at 100% A (time 0�3 min) and finished at 100% B (20�21 min). The solvent system in HILIC was A= 50mM NH4OcA in water, and B= ACN. The linear gradient elution started at 95% B (time 0�2 min) and finished at 55% B (6 min). ","MTBLS103"
"Mass spectrometry","The injection volume was 2 μL. ESI conditions were gas temperature, 225C; drying gas, 13 L min-1; nebulizer, 20 psig; fragmentor, 125 V; and skimmer, 65 V. The instrument was set to acquire over the m/z range 80-1200 with an acquisition rate of 4 spectra/s. ","MTBLS103"
"Data transformation","","MTBLS103"
"Metabolite identification","","MTBLS103"
"NMR sample","For the NMR measurement 250 µL of serum were mixed with 250 µL of phosphate buffer (0.75 mM Na2HPO4 adjusted at pH 7.4, and 20% D2O to provide the field frequency lock). The final solution was transferred to a 5 mm NMR tube and kept refrigerated at 4C in the autosampler until the analysis. ","MTBLS103"
"NMR spectroscopy","1H-NMR spectra were recorded at 310 K on a Bruker Avance III 600 spectrometer operating at a proton frequency of 600.20 MHz using a 5 mm CPTCI triple resonance (1H, 13C, 31P). Three different 1H-NMR pulse experiments were performed for each sample: 1) Nuclear Overhauser Effect Spectroscopy (NOESY)-presaturation sequence to suppress the residual water peak; and 2) Carr-Purcell-Meiboom-Gill sequence (CPMG, spin-spin T2 relaxation filter) with a total time filter of 410 ms to attenuate the signals of serum macro-molecules to a residual level; 20 ppm spectral width and a total of 64 transients collected into 64 k data points.","MTBLS103"
"NMR assay","","MTBLS103"
"Sample collection","The neuroblastoma cells were grown in Eagle's essential medium (EMEM), supplemented with 10% fetal calf serum (FBS), penicillin (100 IU/mL) and streptomycin (50μg/mL) in a 95% air-5% CO2 humidified atmosphere at 37°C  When the cells became 90% confluent (4-5 days), medium was replaced with the EMEM containing 0.25 % FBS, and was used in the incubation studies.Three treatments were studied. Group 1 compared NPY-treated cells to a control (water) to monitor the cellular response to activation of Y2R by NPY. In Group 2, the Y2R receptor was blocked by BIIE (dissolved in ethanol) in treated cells and compared to cells treated with neat ethanol as a control. In Group 3, cells were treated with BIIE plus NPY versus NPY treatment alone to study the effect of selective blocking of Y2R in this Y2R-rich cell line. (human neuroblastoma cell line)","MTBLS104"
"Extraction","Intracellular metabolites were analyzed following extraction using the methanol-chloroform-water method as previously described. Briefly, the cell pellets were resuspended an ice-cold methanol and chloroform solution with a ratio of 2:1. The same total volume of ice-cold water and chloroform (1:1) was added after resuspension. The hydrophilic extraction was obtained by taking the top layer of the mixture after sonication and centrifugation, and the samples were dried in a SpeedVac centrifuge for about 2-3 h before storing in -20°C until prepared for NMR analysis.","MTBLS104"
"NMR sample","Hydrophilic cell extracts were resuspended in 200 μL phosphate buffer (0.15 M) at pH 7.4 with 1 mM NaN3 and 0.01 % trimethylsilylpropionate (TSP) in 100% D2O. ","MTBLS104"
"NMR spectroscopy","All NMR spectra were recorded at 298 K using 3 mm NMR tubes (Norell) with a spectral width of 17 ppm. A Bruker 600 NMR spectrometer was used for data acquisition.","MTBLS104"
"NMR assay","Two 1H NMR experiments optimized by Bruker (Bruker BioSpin, Billerica, MA) for metabonomics studies were run on all samples: a standard 1D pulse and acquire pulse sequence employing water-suppression using pre-saturation (zgpr) and the one-dimensional first increment of a nuclear Overhauser effect spectroscopy (NOESY) experiment with pre-saturation (noesygppr1d). All experiments included on-resonance water pre-saturation achieved by irradiation during a 4.0 s recycle delay. The 90° pulse width was determined for every sample using the automatic pulse calculation feature in TopSpin 3.1. All pulse widths were 8.5 ± 0.5 μs. The zgpr experiment was used to screen samples and ensure that pre-saturation and shimming were sufficient to collect reliable data. Shimming quality was determined by measuring the full width at half height (FWHH) of the Trimethylsilyl propionate (TSP) peak, which was deemed acceptable when the FWHH < 1.0 Hz. One-dimensional zgpr 1H spectra were acquired using 8 scans and 2 dummy scans, with 45K points per spectrum. This resulted in an acquisition time of 1.92 s. Once the spectrum was determined to be of acceptable quality the 1D NOESY experiment was collected. The one-dimensional first increment of the NOESY experiment was collected using 128 scans with 4 dummy scans. 65K points per spectrum were collected which resulted in an acquisition time of 3.21 s. All NMR spectra were processed using the AU program apk0.noe. This AU program automatically corrects phase, baseline, and chemical shift registration relative to TSP in TopSpin 3.1.","MTBLS104"
"Data transformation","NMR spectra bucketing and PCA were conducted using Amix (Bruker Biospin, Billerica, MA, USA). Manual bucketing employed unequal bucket widths to optimize quantification of one peak per bucket in order to accurately preserve metabolite information . All spectra were subjected to total intensity normalization  and Pareto scaling was applied before PCA. Residual water and internal standard peaks were excluded from analysis. Statistical significance analysis of the loadings data was performed using Amix based on the procedure published by Goodpaster et al. except that a Kruskal-Wallis test was used instead of the Mann-Whitney U test for non-parametric analysis of datasets that were not normally distributed.","MTBLS104"
"Metabolite identification","Metabolites were identified using the Chenomx NMR suit (Chenomx Inc. Edmonton, Alberta, Canada). ","MTBLS104"
"Sample collection","Adult patients were recruited from the outpatient clinics and inpatient wards of the Tanta University Hospital in Tanta, Egypt. The participants consist of a total of 89 subjects (40 HCC cases and 49 patients with liver cirrhosis). The protocol of the study was approved by the ethical committee at Tanta University. Detailed characteristics of the patient populations are provided in Table 1. Through peripheral venepuncture, single blood sample was drawn into 10 mL BD Vacutainer sterile vacuum tubes without the presence of anticoagulant. The blood was immediately centrifuged at 1000g for 10 min at room temperature. The serum supernatant was carefully collected and centrifuged at 2500g for 10 min at room temperature. After aliquoting, serum was kept frozen at -80 °C until use. Primary tubes and serum aliquots were labeled using anonymous confidential code numbers with no personal identifiers. Identification codes were cross-referenced with clinical information in a pass code protected computer system. ","MTBLS105"
"Extraction","Plasma metabolites were extracted by adding 1 mL of working solution composed of acetonitrile, isopropanol, and water (3:3:2) containing isotope-labeled internal standards at a concentration of 1.25 μg/mL (tyrosine-3,3-d2, glutamic acid-2,3,3,4,4-d5, alanine-2,3,3,3-d4, phenylalanine-phenyl-d5-2,3,3,-d3, glycine-d5, myristic acid d27) to 30 μL of plasma. After vortexing, samples were centrifuged at 14,500 rpm for 15 min at room temperature. The supernatant was then divided into two, 460 μL each, for analysis by the two GC-MS systems. The supernatants were then concentrated to dryness in speedvac. The dried samples were kept at -20 °C until derivatization prior to analysis by GC-MS.</br>The dried samples were derivatized in each batch prior to injection following previously designed steps using trimethylsilyl (TMS).28, 29 Briefly, 20 μL of a 20 mg/mL methoxyamine hydrochloride in pyridine was added to the dried extracts, vortexed and incubated at 80 °C for 20 minutes. After returning the samples at room temperature, 91 μL of MSTFA + RIs was added, vortexed and incubated at 80 °C for 20 minutes. Samples were then centrifuged at 14,500 rpm for 15 minutes, and 60 μL of the supernatant was transferred into 250 μL clear glass autosampler vials.","MTBLS105"
"Chromatography","For the GC-qMS, Agilent J&W DB-5MS column (30m × 0.25mm × 0.25μm film 95% dimethyl/ 5% diphenyl polysiloxane) + 10m Duragard Capillary column was installed and calibrated. Prior to sample analysis, the GC system was locked by performing retention time locking (RTL) of myristic acid d27 to 16.75min. The samples were injected in splitless mode, with the injection port held at 250 °C. The initial oven temperature was held at 60 °C for 1 minute and then ramped at 10 °C/min to 325 °C and held for 10 minutes. The post run is 1 minute to allow the oven cool down to 60 °C. </br>For the GC-TOFMS system, Agilent HP-5 column (30m x 0.32mm i.d. x 0.25μm film 95% dimethyl 5% diphenyl polysiloxane) was used.  99.9% pure Helium (Roberts Oxygen) was set at a constant flow of 1.5mL/min. The oven temperature was held constant at 70 °C for 4 minutes and then ramped at 20 °C/min to 300 °C at which it was held constant for 5 minutes. The transfer line temperature between the GC and the MS was set to 225 °C. Electron impact ionization at 70eV was employed with an ion source temperature of 200 °C.","MTBLS105"
"Mass spectrometry","The GC-qMS data were acquired in 37.5 minutes with 5.9 minute solvent delay at normal scan rate with the mass range 50-600. MSD transfer line was held at 290 °C, ion source 250 °C and the mass analyzer at 150 °C. </br>For GC-TOFMS, after 5 minutes of solvent delay, filament number 1 was turned on and mass spectra were acquired over the range of m/z of 50-600 at an acquisition rate of 20 scans per second. The detector was operated in the range of 1400 to 1600V with an optimized voltage offset of 200V. Recording ended after 19.5 minutes. ","MTBLS105"
"Data transformation","For GC-qMS and GC-SIM-MS, .D Agilent files were converted to netCDF format using ChemStation software. For GC-TOFMS, peg LECO files were converted to netCDF format using ChromaTOF software.</br>All intensities obtained from processing agents were log-transformed to be used with ANOVA models.","MTBLS105"
"Metabolite identification","Putative metabolite identifications were determined based on spectral matching using the Fiehn and NIST libraries. To reduce the false discovery rate in identification process, we extracted all TMS compounds from NIST library (around 5,000 compounds with more than 22,000 spectra). This was not necessary for the Fiehn library, as it includes spectra only from TMS compounds.","MTBLS105"
"Quality assessment","RI standard mixture was spiked into each sample analyzed by GC- TOFMS. The standard was prepared by mixing a series of fatty acid methyl esters (FAMEs) with a series of alkanes. Specifically, FAMEs, including C8, C9, C10, C12, C14, C16, C18, C20, C22, C24, C26, C28 and C30 linear chain length were dissolved in chloroform at a concentrations of 0.8mg/mL (C8-C16) and 0.4mg/ml (C18-C30). 100 μL of each FAME standard was mixed together and 1.2mL of chloroform was added for a final volume of 2.5mL (FAME-2). Alkanes were purchased as a mixture of long chain Alkane standards, containing all 16 evenly-numbered n-alkanes from C10 to C40, at a concentration of 50mg/L in n-heptane each. Alkane mixture was mixed with FAME-2 at a ratio of 1:4, vortexed prior to spiking it into each sample. For the samples analyzed by GC-qMS, the RI standard mixture consisted of only FAMEs.The blank samples were prepared together with the samples by adding the derivatization agent to an empty eppendorf tube and following the same steps.  The QC sample in each batch was prepared by pooling 5 μL of each derivatized sample within the batch. In both cases, 60 μL of the mixed reaction mixture was transferred into 250 μL clear glass autosampler vials with low-volume inserts and cap.","MTBLS105"
"Sample collection","Tomato fruit harvest","MTBLS107"
"Data transformation","","MTBLS107"
"Chromatography","Ultra-high performance liquid chromatography","MTBLS107"
"Mass spectrometry","Exactive Orbitrap MS","MTBLS107"
"Metabolite identification","","MTBLS107"
"Extraction","Solid-Liquid Extraction","MTBLS107"
"Sample collection","Tomato fruit harvest","MTBLS108"
"Data transformation","","MTBLS108"
"Chromatography","Ultra-high performance liquid chromatography","MTBLS108"
"Mass spectrometry","Exactive Orbitrap MS","MTBLS108"
"Metabolite identification","","MTBLS108"
"Extraction","Solid-Liquid Extraction","MTBLS108"
"Sample collection","Tomato fruit harvest","MTBLS109"
"Data transformation","","MTBLS109"
"Chromatography","Ultra-high performance liquid chromatography","MTBLS109"
"Mass spectrometry","Exactive Orbitrap MS","MTBLS109"
"Metabolite identification","","MTBLS109"
"Extraction","Solid-Liquid Extraction","MTBLS109"
"Sample collection","","MTBLS11"
"Extraction","The chemical derivatization, namely methoxyamination and subsequent trimethylsilylation, was performed manually [1].</p>Ref: </br>[1]  Fiehn O, Kopka J, Dörmann P, Altmann T, Trethewey RN, Willmitzer L (2000) Metabolite profiling for plant functional genomics. Nat Biotechnol 18: 1157–1161. PMID:11062433</br>","MTBLS11"
"Chromatography","Samples were processed using a Factor Four VF-5ms capillary column of dimensions, 30 m length, 0.25 mm i.d., and 0.25 µm film thickness with a 10 m EZ-guard pre-column (Varian Inc., Lake Forest, CA)) mounted to a Agilent 6890N gas chromatograph (Agilent, Böblingen, Germany), which was operated in splitless injection mode.</p>Injection of a 1 µl sample is performed at 230 °C in splitless mode with helium carrier gas flow set to 0.6 ml/min. Purge time is 1 min at 20 ml/min flow. The flow rate is kept constant with electronic pressure control enabled. Optionally and especially recommended in cases of high metabolite concentrations, injection is performed in split mode with the split ratio adjusted 1:25. As a rule of thumb, split injection may be prone to discrimination of high-boiling metabolic components, whereas splitless injection may, in rare cases, result in peak shape artifacts for low-boiling components. These artifacts occur in few chromatograms and result in different degrees of peak splitting and shoulder formation. For suppression of this peak shape artifact either inject at decreased flow or apply a 2 min pressure pulse at 110 psi during injection. However, a robust suppression of this artifact for all biological samples can currently not be recommended.</p>The temperature program starts in isothermal mode set to 1 min at 70 °C. The isothermal step is followed by a 9 °C/min ramp to 350 °C. The final temperature is kept constant for 5 min. Cooling is performed as fast as instrument specifications allow. The transfer line temperature is set to 250 °C and matches ion source conditions.</p>The n-alkanes used to calculate are retention time index were as follows: decane, dodecane, pentadecane, octadecane, nonadecane, docosane, octacosane, dotriacontane, hexatriacontane. For additional information on the retention time index calculations see [1].</p>Ref: </br>[1] Erban A, Schauer N, Fernie AR, Kopka J (2007) Non-supervised construction and application of mass spectral and retention time index libraries from time-of-flight GC-MS metabolite profiles. In W Weckwerth, ed, Metabolomics: Methods and Protocols. Humana Press, Totowa, NJ, pp 19–38 http://dx.doi.org/10.1007/978-1-59745-244-1_2</br>","MTBLS11"
"Mass spectrometry","Mass spectrometric data were acquired through a Pegasus III TOF mass spectrometer (LECO Instrumente GmbH, Mönchengladbach, Germany).  The ion source is set to maximum instrument specifications, 250 °C. High-boiling metabolic components exhibit increased peak tailing at lower temperature settings. The recorded mass range is m/z = 70–600 at 20 scans/s. Mass spectrometric solvent delay with filaments turned off is 6.6–7.5 min, the remaining chromatography is fully monitored with omission of cool down periods. Manual mass defect is set to 0, filament bias current is –70 V, and detector voltage is approx 1700–1850 V depending on detector age. The instrument tune is automated and performed without EPA tune compliance.","MTBLS11"
"Data transformation","GC-TOF-MS chromatograms were processed by TagFinder-Software [1] after export from the ChromaTOF software (version 1.00, Pegasus driver 1.61, LECO) to NetCDF file format.</p>Ref: </br>[1] Luedemann A, Strassburg K, Erban A, Kopka J (2008) TagFinder for the quantitative analysis of gas chromatography - mass spectrometry (GC-MS) based metabolite profiling experiments. Bioinformatics 24: 732–737.PMID:18204057</br>","MTBLS11"
"Metabolite identification","A complete matrix of peak heights representing arbitrary mass spectral ion currents of all available mass features was used for initial numerical analysis. Peak heights were corrected by the amount of cells using OD750 and to the recovered amount of the internal standard, ribitol, to yield normalized responses. These normalized responses were used to calculate response ratios, subsequently also called relative content, compared to the respective choice of control condition. Identification of metabolite-specific mass fragments from this data matrix was manually supervised. Compounds were identified using the TargetFinder plug-in of TagFinder-Software and a reference library of mass spectra and retention indices from the collection of the Golm Metabolome Database (http://csbdb.mpimp-golm.mpg.de/csbdb/gmd/home/gmd_sm.html; [1]). Thresholds for automated mass spectral prematching were match factor >650 and retention indices deviation <1.0%. Identifications were confirmed manually by co-chromatography of defined reference mixtures [2].</p>Data management, data transformation, and basic calculations were performed using Microsoft Office Excel 2003 options. The TM4 multi-experiment viewer [3] and the MetaGeneAlyse Web service [4] were employed for visual and statistical data assessment, e.g. ICA, one- and two-way ANOVA, Kruskal-Wallis, or Mack-Skillings tests.Ref: </br>[1] Kopka J, Schauer N, Krueger S, Birkemeyer C, Usadel B, Bergmueller E, Doermann P, Weckwerth W, Gibon Y, Stitt M, et al (2005) GMD@CSB.DB: the Golm Metabolome Database. Bioinformatics 21: 1635–1638. PMID:15613389</br>[2] Strehmel N, Hummel J, Erban A, Strassburg K, Kopka J (2008) Retention index thresholds for compound matching in GC-MS metabolite profiling. J Chromatogr B 871: 182–190. PMID:18501684</br>[3] Saeed AI, Sharov V, White J, Li J, Liang W, Bhagabati N, Braisted J, Klapa M, Currier T, Thiagarajan M, et al (2003) TM4: A free, open-source system for microarray data management and analysis. Biotechniques 34: 374–378. PMID:12613259</br>[4] Daub CO, Kloska S, Selbig J (2003) MetaGeneAlyse: analysis of integrated transcriptional and metabolite data. Bioinformatics 19: 2332–2333. PMID:14630670</br>","MTBLS11"
"Sample collection","Tomato fruit harvest","MTBLS110"
"Data transformation","","MTBLS110"
"Chromatography","Ultra-high performance liquid chromatography","MTBLS110"
"Mass spectrometry","Exactive Orbitrap MS","MTBLS110"
"Metabolite identification","","MTBLS110"
"Extraction","Solid-Liquid Extraction","MTBLS110"
"Sample collection","Tomato fruit harvest","MTBLS111"
"Data transformation","","MTBLS111"
"Chromatography","Ultra-high performance liquid chromatography","MTBLS111"
"Mass spectrometry","Exactive Orbitrap MS","MTBLS111"
"Metabolite identification","","MTBLS111"
"Extraction","Solid-Liquid Extraction","MTBLS111"
"Sample collection","Six different spring wheat (Triticum aestivum L.) lines were used in the experiments. Treated ears were sampled either directly after treatment (time point 0) or 12, 24, 48 and 96 hours after treatment. The ear was cut from the plant and the non-treated spikelets were removed by clipping the rachis with a surgical scissor below and above the treated spikelets. The treated ear part including the rachis and complete spikelets (chaff and florets) was put in a small vial. Harvested samples were immediately quenched in liquid nitrogen and subsequently stored at -80°C until further processing. Each of the frozen wheat samples were milled to a fine powder for 2 min at 30 Hz using a ball mill (MM301 Retsch, Germany) with liquid nitrogen pre-cooled 10 mL stainless steel vessels and a 9-mm stainless steel ball.","MTBLS112"
